"Label (Grouping)","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Moved; within same county!!Estimate","New Jersey!!Moved; within same county!!Margin of Error","New Jersey!!Moved; from different county, same state!!Estimate","New Jersey!!Moved; from different county, same state!!Margin of Error","New Jersey!!Moved; from different  state!!Estimate","New Jersey!!Moved; from different  state!!Margin of Error","New Jersey!!Moved; from abroad!!Estimate","New Jersey!!Moved; from abroad!!Margin of Error"
"Population 1 year and over","9,192,631","±5,919","4.2%","±0.2","2.4%","±0.1","1.7%","±0.1","1.0%","±0.1"
"    AGE","","","","","","","","","",""
"        1 to 4 years","420,318","±6,741","6.5%","±1.1","3.0%","±0.7","2.3%","±0.4","0.7%","±0.3"
"        5 to 17 years","1,490,637","±1,726","4.3%","±0.5","1.6%","±0.3","0.9%","±0.2","1.2%","±0.2"
"        18 to 24 years","770,595","±2,944","4.9%","±0.6","4.5%","±0.5","3.2%","±0.5","1.8%","±0.4"
"        25 to 34 years","1,182,680","±4,160","7.6%","±0.7","5.2%","±0.5","4.3%","±0.4","1.7%","±0.3"
"        35 to 44 years","1,238,614","±3,998","5.1%","±0.5","2.8%","±0.4","1.9%","±0.3","1.4%","±0.3"
"        45 to 54 years","1,193,831","±3,714","3.2%","±0.4","1.5%","±0.2","1.0%","±0.2","0.8%","±0.2"
"        55 to 64 years","1,249,179","±1,507","2.4%","±0.3","1.2%","±0.2","0.9%","±0.2","0.4%","±0.1"
"        65 to 74 years","954,259","±2,352","2.3%","±0.3","1.1%","±0.2","0.7%","±0.1","0.4%","±0.1"
"        75 years and over","692,518","±2,165","2.5%","±0.3","1.4%","±0.2","0.9%","±0.2","0.4%","±0.1"
"        Median age (years)","40.8","±0.1","32.1","±0.8","30.8","±0.7","30.6","±0.6","31.0","±1.3"
"    SEX","","","","","","","","","",""
"        Male","4,522,685","±5,406","4.3%","±0.2","2.6%","±0.2","1.7%","±0.1","1.0%","±0.1"
"        Female","4,669,946","±5,572","4.2%","±0.2","2.2%","±0.2","1.7%","±0.1","1.0%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N"
"            White","4,924,547","±19,244","3.4%","±0.2","2.3%","±0.2","1.7%","±0.2","0.3%","±0.1"
